title,main_info1,main_info2,main_info3
Гладиатор,"Gladiator, 2000, 155 мин.",США • история  Режиссёр: Ридли Скотт,"В ролях: Рассел Кроу, Хоакин Феникс"
Брат 2,"2000, 127 мин.",Россия • боевик  Режиссёр: Алексей Балабанов,"В ролях: Сергей Бодров мл., Виктор Сухоруков"
Служебный роман,"1977, 159 мин.",СССР • мелодрама  Режиссёр: Эльдар Рязанов,"В ролях: Андрей Мягков, Алиса Фрейндлих"
Жизнь прекрасна,"La vita è bella, 1997, 116 мин.",Италия • военный  Режиссёр: Роберто Бениньи,"В ролях: Роберто Бениньи, Николетта Браски"
Мой сосед Тоторо,"Tonari no Totoro, 1988, 86 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Норико Хидака, Тика Сакамото"
Мой Хатико,"Zhong quan ba gong, 2023, 125 мин.",Китай • драма  Режиссёр: Сюй Ан,"В ролях: Фэн Сяоган, Хуан Сюн"
"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels, 1998, 107 мин.",Великобритания • боевик  Режиссёр: Гай Ричи,"В ролях: Джейсон Флеминг, Декстер Флетчер"
Пианист,"The Pianist, 2002, 149 мин.",Франция • драма  Режиссёр: Роман Полански,"В ролях: Эдриан Броуди, Эмилия Фокс"
Пеле: Рождение легенды,"Pelé: Birth of a Legend, 2015, 107 мин.",США • биография  Режиссёр: Джефф Цимбалист,"В ролях: Кевин де Паула, Леонардо Лима Карвальо"
Песнь моря,"Song of the Sea, 2014, 93 мин.",Ирландия • мультфильм  Режиссёр: Томм Мур,"В ролях: Дэвид Роул, Брендан Глисон"
Принцесса Мононоке,"Mononoke-hime, 1997, 134 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Ёдзи Мацуда, Юрико Исида"
Джанго освобожденный,"Django Unchained, 2012, 165 мин.",США • вестерн  Режиссёр: Квентин Тарантино,"В ролях: Джейми Фокс, Кристоф Вальц"
Судьба человека,"1959, 97 мин.",СССР • драма  Режиссёр: Сергей Бондарчук,"В ролях: Сергей Бондарчук, Павел Полунин"
Укрощение строптивого,"Il bisbetico domato, 1980, 107 мин.",Италия • мелодрама  Режиссёр: Франко Кастеллано,"В ролях: Адриано Челентано, Орнелла Мути"
Тот самый Мюнхгаузен,"1979, 134 мин.",СССР • фэнтези  Режиссёр: Марк Захаров,"В ролях: Олег Янковский, Инна Чурикова"
Маленький принц,"Le Petit Prince, 2015, 108 мин.",Франция • мультфильм  Режиссёр: Марк Осборн,"В ролях: Джефф Бриджес, Маккензи Фой"
Мужики!..,"1981, 97 мин.",СССР • драма  Режиссёр: Искра Бабич,"В ролях: Александр Михайлов, Ирина Иванова"
Человек-паук: Паутина вселенных,"Spider-Man: Across the Spider-Verse, 2023, 140 мин.",США • мультфильм  Режиссёр: Жуакин Душ Сантуш,"В ролях: Шамеик Мур, Хейли Стайнфелд"
Матрица,"The Matrix, 1999, 136 мин.",США • фантастика  Режиссёр: Лана Вачовски,"В ролях: Киану Ривз, Лоренс Фишбёрн"
По соображениям совести,"Hacksaw Ridge, 2016, 139 мин.",Австралия • биография  Режиссёр: Мэл Гибсон,"В ролях: Эндрю Гарфилд, Сэм Уортингтон"
Хоббит: Нежданное путешествие,"The Hobbit: An Unexpected Journey, 2012, 169 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Мартин Фриман, Иэн Маккеллен"
Волк с Уолл-стрит,"The Wolf of Wall Street, 2013, 180 мин.",США • драма  Режиссёр: Мартин Скорсезе,"В ролях: Леонардо ДиКаприо, Джона Хилл"
Одержимость,"Whiplash, 2013, 106 мин.",США • драма  Режиссёр: Дэмьен Шазелл,"В ролях: Майлз Теллер, Дж.К. Симмонс"
Иди и смотри,"1985, 136 мин.",СССР • драма  Режиссёр: Элем Климов,"В ролях: Алексей Кравченко, Ольга Миронова"
Ведьмина служба доставки,"Majo no takkyûbin, 1989, 103 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Минами Такаяма, Рэи Сакума"
Гордость и предубеждение,"Pride & Prejudice, 2005, 129 мин.",Великобритания • драма  Режиссёр: Джо Райт,"В ролях: Кира Найтли, Мэттью Макфэдиен"
Прислуга,"The Help, 2011, 146 мин.",США • драма  Режиссёр: Тейт Тейлор,"В ролях: Эмма Стоун, Виола Дэвис"
Шерлок Холмс и доктор Ватсон: Сокровища Агры,"1983, 151 мин.",СССР • мелодрама  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Пятый элемент,"The Fifth Element, 1997, 126 мин.",Франция • фантастика  Режиссёр: Люк Бессон,"В ролях: Брюс Уиллис, Милла Йовович"
Отступники,"The Departed, 2006, 151 мин.",США • триллер  Режиссёр: Мартин Скорсезе,"В ролях: Леонардо ДиКаприо, Мэтт Дэймон"
Белый Бим Черное ухо,"1976, 183 мин.",СССР • драма  Режиссёр: Станислав Ростоцкий,"В ролях: Вячеслав Тихонов, Валентина Владимирова"
Хоббит: Битва пяти воинств,"The Hobbit: The Battle of the Five Armies, 2014, 144 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Мартин Фриман, Иэн Маккеллен"
Эрнест и Селестина: Приключения мышки и медведя,"Ernest et Célestine, 2012, 80 мин.",Франция • мультфильм  Режиссёр: Стефани Обье,"В ролях: Ламбер Вильсон, Полин Брюннер"
Крестный отец,"The Godfather, 1972, 175 мин.",США • драма  Режиссёр: Фрэнсис Форд Коппола,"В ролях: Марлон Брандо, Аль Пачино"
Лев,"Lion, 2016, 118 мин.",Австралия • драма  Режиссёр: Гарт Дэвис,"В ролях: Дев Патель, Николь Кидман"
Престиж,"The Prestige, 2006, 130 мин.",Великобритания • триллер  Режиссёр: Кристофер Нолан,"В ролях: Хью Джекман, Кристиан Бэйл"
Гарри Поттер и Кубок огня,"Harry Potter and the Goblet of Fire, 2005, 157 мин.",Великобритания • фэнтези  Режиссёр: Майк Ньюэлл,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Оппенгеймер,"Oppenheimer, 2023, 180 мин.",США • биография  Режиссёр: Кристофер Нолан,"В ролях: Киллиан Мерфи, Эмили Блант"
